iter	Passed	Remaining
0	3	3865
1	7	3618
2	9	3152
3	13	3292
4	16	3313
5	20	3313
6	23	3365
7	27	3365
8	31	3449
9	34	3464
10	39	3508
11	42	3494
12	46	3494
13	49	3492
14	53	3490
15	56	3479
16	60	3470
17	63	3464
18	68	3523
19	72	3536
20	75	3520
21	79	3535
22	85	3629
23	86	3534
24	90	3541
25	94	3546
26	97	3531
27	101	3515
28	104	3507
29	108	3494
30	111	3494
31	115	3483
32	118	3476
33	122	3470
34	126	3479
35	129	3473
36	133	3470
37	136	3453
38	139	3442
39	141	3404
40	145	3394
41	148	3384
42	151	3381
43	155	3370
44	158	3363
45	161	3355
46	165	3351
47	168	3343
48	171	3334
49	175	3327
50	178	3317
51	181	3316
52	186	3328
53	190	3329
54	194	3335
55	197	3328
56	201	3328
57	204	3314
58	207	3310
59	210	3298
60	214	3299
61	217	3292
62	221	3292
63	224	3289
64	228	3293
65	232	3290
66	236	3292
67	240	3289
68	243	3288
69	247	3284
70	250	3276
71	253	3269
72	256	3260
73	259	3253
74	263	3246
75	266	3236
76	269	3232
77	272	3224
78	276	3223
79	279	3213
80	282	3209
81	285	3200
82	289	3197
83	292	3188
84	295	3183
85	298	3174
86	302	3170
87	305	3164
88	308	3161
89	311	3153
90	315	3147
91	318	3140
92	321	3138
93	325	3136
94	329	3135
95	332	3127
96	335	3126
97	339	3120
98	342	3117
99	345	3110
100	349	3106
101	352	3100
102	355	3098
103	359	3093
104	362	3089
105	365	3083
106	369	3080
107	372	3075
108	375	3068
109	378	3064
110	381	3058
111	385	3053
112	388	3047
113	391	3043
114	395	3039
115	398	3035
116	401	3028
117	404	3024
118	407	3016
119	410	3012
120	413	3006
121	417	3002
122	420	2996
123	423	2991
124	426	2986
125	429	2981
126	432	2976
127	436	2970
128	439	2966
129	442	2961
130	445	2957
131	448	2951
132	452	2947
133	455	2945
134	459	2942
135	462	2938
136	465	2935
137	468	2929
138	472	2926
139	475	2922
140	479	2919
141	482	2913
142	486	2912
143	490	2913
144	494	2913
145	497	2912
146	501	2908
147	504	2906
148	507	2900
149	511	2898
150	514	2893
151	518	2892
152	521	2888
153	525	2886
154	528	2881
155	531	2877
156	535	2875
157	538	2871
158	541	2866
159	545	2861
160	548	2857
161	551	2854
162	555	2850
163	558	2845
164	561	2841
165	565	2839
166	568	2833
167	571	2829
168	574	2824
169	577	2820
170	582	2822
171	587	2827
172	591	2825
173	595	2824
174	598	2820
175	601	2817
176	605	2814
177	608	2810
178	611	2806
179	615	2802
180	618	2798
181	621	2794
182	624	2790
183	628	2785
184	631	2780
185	634	2777
186	638	2774
187	641	2771
188	644	2766
189	648	2762
190	650	2756
191	654	2753
192	657	2748
193	660	2744
194	663	2740
195	667	2736
196	670	2733
197	673	2729
198	676	2724
199	680	2721
200	683	2715
201	686	2712
202	689	2708
203	692	2703
204	696	2699
205	699	2697
206	702	2692
207	705	2688
208	709	2684
209	712	2678
210	715	2676
211	718	2671
212	722	2669
213	725	2664
214	728	2660
215	731	2656
216	735	2653
217	738	2648
218	741	2646
219	745	2641
220	748	2639
221	751	2634
222	755	2630
223	758	2626
224	761	2623
225	764	2619
226	768	2616
227	771	2612
228	774	2609
229	778	2607
230	782	2604
231	785	2599
232	788	2596
233	792	2592
234	795	2590
235	798	2585
236	801	2581
237	805	2577
238	808	2573
239	811	2569
240	814	2566
241	818	2562
242	821	2558
243	824	2554
244	827	2549
245	830	2546
246	833	2541
247	837	2539
248	840	2535
249	843	2531
250	846	2526
251	850	2523
252	853	2519
253	857	2517
254	860	2512
255	863	2509
256	866	2505
257	870	2502
258	873	2498
259	876	2495
260	879	2491
261	883	2488
262	886	2484
263	889	2480
264	893	2476
265	896	2473
266	899	2469
267	902	2465
268	906	2462
269	909	2457
270	912	2454
271	916	2451
272	919	2448
273	922	2444
274	925	2440
275	928	2436
276	932	2433
277	935	2428
278	938	2425
279	941	2421
280	945	2418
281	948	2415
282	952	2412
283	955	2408
284	958	2405
285	962	2402
286	966	2399
287	969	2396
288	973	2394
289	977	2392
290	980	2389
291	984	2386
292	987	2382
293	992	2382
294	995	2379
295	998	2375
296	1001	2371
297	1005	2369
298	1009	2365
299	1012	2363
300	1016	2359
301	1019	2357
302	1023	2353
303	1026	2350
304	1029	2346
305	1032	2342
306	1036	2338
307	1039	2335
308	1042	2331
309	1046	2328
310	1049	2325
311	1052	2321
312	1056	2317
313	1059	2314
314	1062	2310
315	1066	2307
316	1069	2303
317	1072	2300
318	1075	2296
319	1080	2295
320	1083	2292
321	1087	2289
322	1090	2285
323	1093	2282
324	1096	2278
325	1100	2274
326	1103	2270
327	1106	2267
328	1110	2264
329	1113	2260
330	1116	2257
331	1120	2254
332	1123	2250
333	1126	2247
334	1130	2243
335	1133	2239
336	1136	2235
337	1139	2232
338	1143	2229
339	1146	2225
340	1149	2222
341	1153	2218
342	1156	2214
343	1159	2210
344	1162	2207
345	1165	2202
346	1168	2199
347	1171	2195
348	1175	2192
349	1178	2188
350	1181	2185
351	1184	2181
352	1188	2178
353	1191	2174
354	1195	2171
355	1198	2167
356	1201	2163
357	1204	2160
358	1208	2157
359	1211	2153
360	1216	2153
361	1221	2152
362	1224	2149
363	1228	2146
364	1231	2142
365	1235	2139
366	1238	2136
367	1242	2133
368	1245	2130
369	1249	2126
370	1252	2123
371	1256	2120
372	1259	2117
373	1263	2114
374	1266	2110
375	1269	2106
376	1272	2102
377	1275	2099
378	1278	2095
379	1282	2091
380	1285	2088
381	1288	2084
382	1292	2081
383	1295	2077
384	1298	2074
385	1301	2070
386	1304	2066
387	1308	2064
388	1312	2060
389	1315	2056
390	1318	2053
